author,content,number_of_likes,number_of_shares
instagram,"Lookin' good, @GlacierNPS https://t.co/LtuU7dw0kI",670,130
instagram,How comedy and @SU2C helped one teen overcome a rare form of leukemia https://t.co/MrkxQGyejW,629,132
instagram,"Participate in this weekend’s hashtag project: #WHPstyle
https://t.co/SqzlGYRU55",610,144
instagram,"Celebrating #NationalTeddyBearDay with the talented creator of these beary cute creatures 
https://t.co/xxCnd7Nsmx",757,159
instagram,.@Lupita_Nyongo might just have the best fan art on Instagram https://t.co/720J70TRbQ,602,133
instagram,Paintings. Mosaics. Pencil Drawings. A look at the wonderful fan art of @Lupita_Nyongo https://t.co/720J70TRbQ,641,127
instagram,🦁? 🐶? #WHPwilderness https://t.co/OZlU10zxZb,815,145
instagram,"#DailyFluff
https://t.co/jMQWiabzCh 🐾 https://t.co/8V6cYVN34U",1234,333
instagram,The northern lights dance 💫 for @MichaelMatti &amp,864,172
instagram,Seeking out the little things at #NYFW with @Cassidy_Araiza https://t.co/jEI2oTh8mh,606,101
instagram,A creative approach to tennis equipment @usopen with @andresbella https://t.co/O2RgzoXQ4u,645,120
instagram,"""Stranger Pugs &gt; #StrangerThings"" –@itsdougthepug 🐶 https://t.co/1g2qtkRcnc",789,203
instagram,Celebrating #NationalAmpersandDay with @masgrimes https://t.co/mTwPC5sBbc,666,146
instagram,Live long and prosper. Happy #StarTrek50! 🖖🏽 https://t.co/NMWGhJJhae,1037,326
instagram,"Ready, set, GO! with @Romestebanr for #WHPwilderness https://t.co/ZnyhpLvgGi",709,111
instagram,#DailyFluff 🐾 https://t.co/gyhusS9MA5,1699,330
instagram,Perfect rings in Michigan’s crystal-clear water #WHPwilderness https://t.co/V8EOSKUrDw,694,124
instagram,Natasha Ksenzhuk’s photos look good enough to eat https://t.co/vSvBpwrOaN,737,138
instagram,"“As a local, I’m always amazed by the natural beauty of the rivers, forests, mountains and the sea.”@MdFarhad_Rahman https://t.co/cs84hnfvdw",837,167
instagram,Globe-trotting advice from travel photographer @MdFarhad_Rahman https://t.co/A47uBOFsWr,706,142
instagram,A foggy jog through San Francisco’s Mount Davidson Park https://t.co/EFOD7ZS3yN,789,130
instagram,"#DailyFluff
https://t.co/OgFjORnXzr 🐾 https://t.co/sSuaTEbDgj",1244,391
instagram,A burst of energy and light erupts in a forest clearing 💥 #WHPwilderness https://t.co/owO0wbGqy8,727,135
instagram,Featured submissions from this weekend’s hashtag project: #WHPwilderness https://t.co/5oUkSgmSZb https://t.co/w0geEf5RRk,908,216
instagram,"""Fro-yo on-the-go, yo"" sounds pretty good right now. Today's story is all about #WWIM14🍴! https://t.co/0ZMkk1j23w https://t.co/sWNfYtcV6e",742,144
instagram,"Stop, drop and 📚 #ReadABookDay https://t.co/rEAYfqe0EF",896,219
instagram,We’re popping up for this week’s #WeeklyFluff 😻 https://t.co/O5ZfTEnVIm,780,141
instagram,"#DailyFluff
https://t.co/nhIRKWcXMN 🐾 https://t.co/bbDfM0oKXC",1228,259
instagram,The art of daily life in Lesotho https://t.co/4dCxFjKkX3,793,148
instagram,Creative inspiration from @FastCoDesign https://t.co/N8yGHSAYok,741,162
instagram,"Two red pandas reminding the world of the importance of friendship, nature and a good ol’ nap. #TheWeekOnInstagram
https://t.co/dO6FHALRjT",959,209
instagram,Flipping worlds with Mexican student @karencantuq https://t.co/4J1I2DmGNn,791,128
instagram,Play peek-a-boo with #hiddenrainbow hair 🌈 (via @HuffingtonPost) https://t.co/zYMGDkIsoO,1091,229
instagram,"#DailyFluff
https://t.co/biAIa4qMaF 🐾 https://t.co/TeWUr4yTrC",1267,248
instagram,Taking in the view #FromWhereIRun with @nictinworth https://t.co/2dWk71tK0l,818,145
instagram,"A girl and her dog (almost) blend into a mural in Newtown, Australia #TheWeekOnInstagram
https://t.co/mmz3ktirES",818,142
instagram,Documenting life in the former Soviet Union with @brendanhoffman https://t.co/0Qywb3AIYp,759,155
instagram,Turning 🌸 into 🎨 (via @BuzzfeedParents) https://t.co/cXsGm0HtQ7,1204,226
instagram,"Happy birthday to the one and only @Beyonce! 👑🐝💋
https://t.co/5U5eIrq0hz",2279,924
instagram,"When life hands you an open road and a fallen tree tunnel, you hop on your longboard #TheWeekOnInstagram https://t.co/YDaiRzBf8P",816,192
instagram,"The Week on Instagram | 251 
https://t.co/H6Fm6omF8s https://t.co/HoUrN3CIZG",843,172
instagram,Look closely. His feet (on the right) never touch the ground. #BoomerangOfTheWeek https://t.co/hTkgje3wE5,792,147
instagram,This #myinstagramlogo from @CristinaC0lli has serious flower power https://t.co/4YQkmHYUo0,708,131
instagram,You're welcome! (via @POPSUGAR) https://t.co/uAAf4uN3Rd,1076,195
instagram,"#DailyFluff
https://t.co/gkvt7LpBoH 🐾 https://t.co/Hnp3jiI7zy",1240,254
instagram,You'll never have a bad hair day again #hiddenrainbow 🌈💁 (via @landesskearns @HuffPostHawaii) https://t.co/zYMGDkIsoO,1068,259
instagram,Participate in this weekend’s hashtag project: #WHPwilderness https://t.co/3IlJdhlMta https://t.co/LvmDLbgVgC,931,218
instagram,"Pen, pencil and proportions with @be_fraser #FashionIllustrated https://t.co/FCbyU5KkKp",701,140
instagram,This London #WWIM14🍴 sound likes the perfect day https://t.co/CZVlEC5lTZ,689,125
instagram,"#DailyFluff
https://t.co/biSU8s0Pui 🐾 https://t.co/p5kQ7lEhUr",1159,226
instagram,It's the cast of #StrangerThings! 👀 our story before it disappears into the upside-down 😈https://t.co/0ZMkk1ACV4 https://t.co/aGUbffGSF5,2115,623
instagram,.@IsabelleFeliu’s groovy and colorful universe #FashionIllustrated https://t.co/cbRFQg6Hul,625,117
instagram,"“One of the great storytellers, in their own right, is really the orangutan.” —photographer @mattiasklum https://t.co/pcMsyqIz16",602,130
instagram,The candy-colored world of model Haruka Kurebayashi https://t.co/JLgIF1rosE,557,121
instagram,"#DailyFluff
https://t.co/2iB6e941Ye 🐾 https://t.co/pepwJrEW3j",1401,405
instagram,"If you’re going to take a Boomerang with the stars of @Stranger_Things, you have to include Christmas lights https://t.co/b9HylZWZEv",4550,1761
instagram,Ecosystem ambassadors: The orangutans of Borneo https://t.co/IvBewrbfjq #InternationalPrimateDay,714,193
instagram,A canine space cadet 🚀 🐶 🚀 #WHPdrawit https://t.co/zFy2Hej75x,808,139
instagram,Colored pencil shavings transform into a spinning skirt 💃  #WHPdrawit https://t.co/guFhYqgzQx,854,161
instagram,Love at first bite with the @marshmallowist https://t.co/Qdt7nCuEwb,716,146
instagram,Painting imperfect flowers perfectly with KT Smail #FashionIllustrated https://t.co/9xWQ6LRivX,627,129
instagram,.@terdjman has his #EyesOn streets around the world https://t.co/idOWNimH2t,653,135
instagram,"Today we’re bringing ZOOM to Instagram on iOS! Pinch to zoom on photos &amp; videos in feed, on profiles and on Explore https://t.co/j1g4JQozK2",8811,8141
instagram,An ordinary passenger transformed on the Seoul subway for #WHPdrawit https://t.co/e6ad56XPWg,727,140
instagram,A mystery UFO landing in broad daylight #WHPdrawit https://t.co/vXE7bq4zMe,841,183
instagram,A motorized wedding procession in the Democratic Republic of the Congo #TheWeekOnInstagram https://t.co/KbOp0WttNv,688,124
instagram,Capturing shape and weight with @sharrisonart #FashionIllustrated https://t.co/gUvbb3gscD,640,113
instagram,"#DailyFluff
https://t.co/sDUAtzbB5H 🐾 https://t.co/ysZ0y8EsLT",1526,414
instagram,Hello world! Meet today’s #WeeklyFluff: 🐮 🐶 https://t.co/pkPQva4eHG,785,140
instagram,A sea monster sighting in the Charles River #WHPdrawit https://t.co/9ukxkLqSG3,748,149
instagram,Instagram Story skills + a Boomerang bubble = an amazing #WHPdrawit submission! https://t.co/UoOdbnR3Rq,756,131
instagram,Featured submissions from this weekend’s hashtag project: #WHPdrawit https://t.co/eFpsVHb1sy https://t.co/rCp19g9tY9,641,141
instagram,Introducing illustrator Jaesuk Kim and his “SusuGirls” https://t.co/4wIOGhUvaU #FashionIllustrated,612,122
instagram,"From way up here, all those beach umbrellas look like 🍬! #TheWeekOnInstagram https://t.co/gVboFUFo0l",674,108
instagram,Taking on the next challenge with @DjokerNole https://t.co/LzuPaDi4YK,601,120
instagram,"""Time is a precious thing. Never waste it."" RIP #GeneWilder  https://t.co/jLCDSqAWz1",1369,467
instagram,"#DailyFluff 
https://t.co/z6UM55D5wn 🐾 https://t.co/DeNl5mPO20",1067,215
instagram,Watch our Instagram story to go behind the scenes @mtv #VMAs ⭐️ https://t.co/w0oHC6K7Fp,1637,386
instagram,"Impressive stunts and stunning views in Lyon, France #TheWeekOnInstagram
https://t.co/1JWdqWWq3t",618,112
instagram,"Two goats in India pay their respects #TheWeekOnInstagram
https://t.co/v5e4D8Dpb9",486,93
instagram,Did you know you could upload recent photos &amp,968,234
instagram,Caution: extremely addictive videos ahead ⚠️  (via @POPSUGARTech) https://t.co/Bz5DrtLsFF,633,143
instagram,Let your thumbs do all the rummaging👗 (via @garancedore) https://t.co/oFzvSftgkU,694,113
instagram,Interior design inspo made easy (thanks to @ArchDigest) https://t.co/ILPTdWEUNY,776,123
instagram,Avocado toast is only the beginning (via @extracrispy) https://t.co/BadGbxGPfZ,887,161
instagram,Get ready for Worldwide InstaMeet 14! Here's some inspiration from @StyleCaster in honor of #WWIM14🍴's theme: food. https://t.co/ESJuCE8uos,922,191
instagram,A sea of red waves (and curls) in Brazil #TheWeekOnInstagram https://t.co/nlSnSvvjv9,798,158
instagram,This week’s Hashtag Highlight = #PlantsOnPink with @StellaMariaBaer https://t.co/Sxd3zqZ29b,664,120
instagram,"The Week on Instagram | 250
https://t.co/iNbR1vl2Ze https://t.co/UyzXCXMVH1",803,154
instagram,"Our #BoomerangOfTheWeek = a sandy selfieboom 🌴 😎
https://t.co/mpQbfbw2Z4",724,125
instagram,"""Our friend has superpowers &amp; she squeezed your tiny bladder with her mind."" This #StrangerThings kid has us like 😱 https://t.co/z6q8rpTHX1",866,172
instagram,Mark your calendars: #WWIM14🍴 is Sept. 17 and 18! And it's all about FOOD. Tell us about your InstaMeet here: https://t.co/envxP6brmK,802,160
instagram,"#DailyFluff
https://t.co/QuA6n5vD22 🐾 https://t.co/nw6ApzjV3c",1592,407
instagram,“#RunwayForAll means we all have beauty in us.” —@egoshooter87 https://t.co/T9mLh1CcQf,826,150
instagram,.@egoshooter87 is making room on the #RunwayForAll https://t.co/oQ61J3vtW4,663,101
instagram,Participate in this weekend’s hashtag project: #WHPdrawit https://t.co/Cjv095tH3n https://t.co/ccT5bATTIt,680,146
instagram,So much cuteness. So little time. #NationalDogDay 🐶❤️  (via @BritAndCo) https://t.co/u8vzKte736,1205,254
instagram,.@NWDogProject celebrates #NationalDogDay year-round https://t.co/jYUzhjQxw2,639,127
instagram,Watch our Instagram story this weekend to see amazing moments from @afropunk https://t.co/jxpl35kqkF,685,112
instagram,"#DailyFluff
https://t.co/CDymvDev9w 🐾 https://t.co/EmJGZjQ0Na",1153,264
instagram,5 easy and impactful photography tips from @symmetry_fast (via @popsugaruk) https://t.co/AZTKKW9scl,974,201
instagram,A day in the life of a young joey at the Kangaroo Sanctuary https://t.co/3aZBKR4eh6,695,132
instagram,Most entertaining sleeping baby ever 👶  (via @HuffPostParents) https://t.co/bChTZ2xF6j,1105,315
instagram,Capturing contemplation with @Hibanabulsii https://t.co/EfwTrxmos4,639,132
instagram,The next best thing to visiting the national parks #NPS100 (via @lyndzicampbell @travelleisure) https://t.co/xb6GsgvHWc,793,189
instagram,Watch our Instagram story to follow along with @chrisburkard on his @GlacierNPS adventure #NPS100 https://t.co/LtuU7dw0kI,674,128
instagram,An adventure into the expected with the #HumansofDenali https://t.co/BBitcPRd8O #NPS100,634,128
instagram,"#DailyFluff
https://t.co/yOoEhkhR3G 🐾 https://t.co/SIL0xZ8bQv",1024,221
instagram,"Stop, drop and read #WHPbookworm https://t.co/1UxpEsYnCN",712,125
instagram,"A sleepy, snuggleable #WHPbookworm https://t.co/pdSLUprBHX",830,118
instagram,Happy #KobeBryantDay to all the @kobebryant fans out there! https://t.co/ltjQf6mFFy,866,235
instagram,Life beneath the sea with Rodrigo Friscione 🌊 https://t.co/7TDSZQmhjj,591,109
instagram,“It’s basically like seeing a shooting star every five minutes.” #TheWeekOnInstagram ☄ https://t.co/tcJ5UdDB6j,687,139
instagram,Ever wondered how to make a stop-motion video? Matt @crump shows us in today's story ➡️  https://t.co/0ZMkk1j23w https://t.co/eiHRgATK9W,882,187
instagram,“Color is everywhere.” —Matt @crump #candyminimal https://t.co/kLFBoiicMH,712,127
instagram,“‘What if this was my life?’ This is what I really hope that readers see in my pictures.” —@matildegattoni https://t.co/z7375cXHIr,688,125
instagram,Matilde Gattoni has her #EyesOn the world’s displaced communities https://t.co/Ovc8DN9RSi,647,141
instagram,Thumbelina? Is that you? #WHPbookworm https://t.co/jT2GopIU78,680,123
instagram,"#DailyFluff
https://t.co/qmsNqcuMPQ 🐾 https://t.co/XXn7oPxIhF",2059,612
instagram,Twinning goals for #WHPbookworm https://t.co/vO8VwRIbCo,754,139
instagram,Calm water = a magic mirror #TheWeekOnInstagram https://t.co/0rT1U4sGdP,696,132
instagram,We ❤️  this vacation #protip from @jennydeluxe @NYTMag: Make your own guidebook with Instagram geotags https://t.co/z8i4VBRcLb,616,125
instagram,Today’s #WeeklyFluff = 🐇🐇 https://t.co/ei4GEIz77h,685,135
instagram,"These sand videos are so oddly satisfying (thanks, @POPSUGARTech!) https://t.co/NFsDi5Yhm7",652,123
instagram,Searching for hope with @tiff_net x Instagram Shorts Festival winner Mohamed Abdallah https://t.co/0GwKHiH1BE,643,130
instagram,Boomerang meets bookstore for #WHPbookworm https://t.co/Mkf1IrD2J8,705,143
instagram,"#DailyFluff
https://t.co/aVX1Wd6hjd 🐾 https://t.co/cVrhyZipDD",1058,221
instagram,A hungry little 🐛 for #WHPbookworm https://t.co/Yzbcz7nJku,807,140
instagram,Featured submissions from this weekend’s hashtag project: #WHPbookworm https://t.co/IBVYOurGkb https://t.co/XIhxa9XPLm,791,169
instagram,"In Mongolia’s Tsaatan tribal village, the reindeer are anything but shy #TheWeekOnInstagram https://t.co/ODOWyKmFtt",621,127
instagram,“It’s the simplicity of being outside and being vulnerable.” —Erin Azouz 🚲 https://t.co/F9AGaL6E45,786,155
instagram,"Bicycling from Mexico to Argentina, learning to live on less 🚲 https://t.co/Puo4HC6bwJ",826,173
instagram,"#DailyFluff
https://t.co/Y3usedA5vo 🐾 https://t.co/RX4OF20eIE",1941,536
instagram,A cat and dog that we can't. Stop. Watching. 😺🐶 https://t.co/wfYysnXUnI,1033,185
instagram,Going the distance with runner @Mo_Farah https://t.co/dspQbsylWe,647,108
instagram,.@JessGlynne is taking over our story today from @vfestival! 🔥 See the rest ➡️ https://t.co/0ZMkk1j23w https://t.co/eNEaOf4quR,787,150
instagram,A mythical lighthouse in morning’s first light #TheWeekOnInstagram https://t.co/y4v5L0ULS6,605,112
instagram,How to #YogaEveryDamnDay with @JessNotJazz https://t.co/DoZHF7lGMz,695,118
instagram,These cheese platters are seriously next level (via @DailyMail) https://t.co/tzPFd45LCl,991,221
instagram,"There's still time to show us your favorite book, library, bookstore or reading nook. Participate in #WHPbookworm 📚 https://t.co/rYU0fwiga1",885,191
instagram,This touring exhibit is perfect for Instagram 🎨 (via @Allure_magazine) https://t.co/fezrpLzKyv,908,161
instagram,Real talk meets rainbows 🌈 #LisaFrank (via @BritAndCo) https://t.co/cCMnkrl7m0,991,188
instagram,"Stripes look good on you, Copenhagen #TheWeekOnInstagram https://t.co/66PQeuwNdn",746,117
instagram,"The Week on Instagram | 249
https://t.co/oYmQf1ZqeD https://t.co/MIB4yiftRa",861,164
instagram,#WWIM14🍴 is all about food! Tag a friend who's obsessed with getting that perfect shot 📷. &amp,757,138
instagram,He shoots ... he scores! (Kind of.) #BoomerangOfTheWeek https://t.co/9uULx2BLFb,710,126
instagram,Finding the perfect plant with botanical artist Charles Loh https://t.co/fML8PtQmnw,823,136
instagram,Michaela (@mishkusk) makes it look easy swimming with humpback whales 🐋  https://t.co/l3cDDSGvyg,926,140
instagram,"#DailyFluff
https://t.co/O3sIS0cqUM 🐾 https://t.co/hEfTyElVSq",1798,463
instagram,,0,0
instagram,Devoted athletes in a remarkable city! The Olympics w/ @craigmelvin https://t.co/DuATxfzuVY,677,113
instagram,Team spirit at the #Olympics? These athletes nailed it 💅🏻 (via @MirrorFashion) https://t.co/WwyDZsWEXJ,742,170
instagram,"Weekend, is that you? #TGIF 😻 https://t.co/ADSArJONE9",754,154
instagram,Participate in this weekend’s hashtag project: #WHPbookworm https://t.co/rYU0fwiga1 https://t.co/WHb7VXtQz7,733,162
instagram,Defying the odds with photographer Tom Saater #WorldPhotoDay https://t.co/n4OqahwyqA,786,120
instagram,“Photography is what brought me out of my shell.” —@Tomsaater #WorldPhotoDay https://t.co/Pg4tcTZKlf,1103,256
instagram,"#DailyFluff
https://t.co/exvNKdRL2Y 🐾 https://t.co/rrzETHPN37",1845,410
instagram,“I’m inspired by their world of fantasy and shadows and play and drama.” —Natalie Grono https://t.co/4S8VS4AJTO,921,155
instagram,Symmetry in motion for #WHPsymmetry https://t.co/dmjONLY77E,612,88
instagram,"These ""ordinary"" women are doing extraordinary things with Instagram (via @glamourmag) https://t.co/hN5TjTpxL0",779,150
instagram,Capturing the magic of motherhood with Natalie Grono ✨ #MyStory https://t.co/DedYx9Af0G,710,130
instagram,"“Create each day, regardless of your skills.” —@cintascotch https://t.co/d1qJpdtco7",652,149
instagram,A (sort of) synchronized summer splash #WHPsymmetry https://t.co/gPakpq7xnW,765,118
instagram,"#DailyFluff
https://t.co/FNr4EzyAT3 🐾 https://t.co/UzOYwD8xXI",1212,235
instagram,"“People are crazy for piñatas, it turns out.” —Christine Lucas, Lula Flora Designs https://t.co/r3sXaOqvDM",864,149
instagram,#WHPsymmetry found on a subway platform https://t.co/SRzjAPsvkU,678,122
instagram,"“There is life and love in our region, regardless, or even along with, the struggles.” —@tamarabdul https://t.co/2E6VOe55BC",798,145
instagram,When making piñatas becomes a full-time job https://t.co/gZj0au5t1S,676,122
instagram,Freedom in the Icelandic countryside #TheWeekOnInstagram https://t.co/ZXNiwmcrC1,624,116
instagram,Life beyond the headlines with @tamarabdul https://t.co/qfllTdWWZX,615,127
instagram,Just a few fun ways to play with the new one-handed zoom in Stories. 😎🐼🎭  See the rest at https://t.co/0ZMkk1j23w https://t.co/3cnCtQwbgh,808,170
instagram,Racing for glory with @CBuchanan68 https://t.co/Exfep3lwFD,594,107
instagram,A winding Nevada road complements the landscape #WHPsymmetry https://t.co/G6Pqu2lT5Y,769,140
instagram,"#DailyFluff
https://t.co/XJJEtIxma8 🐾 https://t.co/x8e9G94C5G",1608,460
instagram,"A symbiotic submission to last weekend’s hashtag project, #WHPsymmetry https://t.co/GN4CAYuHmi",811,136
instagram,Living life to the fullest (and loving the rain) ⚽ #TheWeekOnInstagram https://t.co/cKiTUDqiW2,593,128
instagram,Today’s #WeeklyFluff = “a cat and his dog” https://t.co/wfYysnXUnI,631,127
instagram,"#DailyFluff
https://t.co/bznpSdCn8C 🐾 https://t.co/sir769lw2z",1085,202
instagram,Two van Goghs are better than one #WHPsymmetry https://t.co/b2xVhzt1dm,753,141
instagram,“I am hoping to inspire more women to get into boxing.” —@NicolaAdams2012 https://t.co/AOAvlBQOBB,757,139
instagram,,0,0
instagram,Featured submissions from this weekend’s hashtag project: #WHPsymmetry https://t.co/WKq3r9Mr5W https://t.co/CPqYgvMhr8,758,148
instagram,Seaside fun on crazy slides in Barcelona #TheWeekOnInstagram https://t.co/VwyArl7iLJ,605,113
instagram,Bridging the gap with photographer @kononekome 📸 https://t.co/Sa0sIp6aez,652,111
instagram,New to Instagram Stories: Zoom with one hand! Just slide your finger up while holding the video record button.,1033,276
instagram,Making history with Olympic boxer @NicolaAdams2012 🏅 https://t.co/SN8xAPeR0X,649,122
instagram,"“OK, this isn’t perfect, but I’m going to make it look cool.” —Amanda aka “colonless female” on healthy body image https://t.co/jTg8uROURJ",776,140
instagram,Amanda has a poop bag instead of a colon. And she rocks it. #GoingThroughIt with a “colonless female”: https://t.co/V3nSaEGiAa,821,146
instagram,"Here's another Instagram Stories tip! When watching your own story, swipe up to 👀 who's seen each photo &amp; video https://t.co/5kxDjC2mtG",991,188
instagram,"#DailyFluff
https://t.co/OgFjORnXzr 🐾 https://t.co/nHHClIg4So",1853,511
instagram,"1 loving dad 👨
+ 2 slices of toast 🍞🍞
= endlessly entertaining breakfasts
(via @Huffington Post) 
https://t.co/E1TGQ4Ec6A",1405,330
instagram,It pays to look out the car window #TheWeekOnInstagram https://t.co/JecM1Y4Sv0,719,121
instagram,How to #WakeUpandMakeUp with @SunKissAlba https://t.co/Y316deLC6F,679,109
instagram,"This pink lagoon has tourists flocking to Yucatán, Mexico 💗  (via @mymodernmet) https://t.co/2X8n2dGbei",820,171
instagram,Food + friends = Worldwide InstaMeet 14. Get ready for #WWIM14🍴 on September 17-18! https://t.co/dWNpwSRani,883,156
instagram,These dogs are all over Harry Potter and the #CursedChild @HPPlayLDN 🐾⚡️ (via @BuzzFeed) https://t.co/mkF4jSYZm6,1359,305
instagram,The obsession is real. Check out @NetflixLifee's round-up of #StrangerThings fan art! https://t.co/EHnEEzvtVn,1068,199
instagram,"Instagram Stories tip! To go back to the previous photo or video in a story, just tap the left edge of the screen 📲 https://t.co/5ZIlKvBIP4",1020,184
instagram,A very meta portrait of an electric blue parrotlet #TheWeekOnInstagram https://t.co/gGvJu8dlao,782,120
instagram,"The Week on Instagram | 248
https://t.co/QS7PW0lETb https://t.co/sRhhdMY7VA",818,172
instagram,Did you know you can pause a photo or video while watching a story? Just tap and hold the screen 👆 https://t.co/XXJJtPraJe,1011,221
instagram,A stranger’s swinging shadow = #BoomerangOfTheWeek! https://t.co/JdwLz7Anfg,647,107
instagram,"Meet @shaun_jeffers, the official photographer of The Lord of the Rings’ Hobbiton https://t.co/UZ3OeQuS31",849,154
instagram,"#DailyFluff
https://t.co/mKE9y0zGlj 🐾 https://t.co/N55qwczS09",1537,371
instagram,Who's hungry? @symmetry_fast makes a meal twice as nice in today's story. Tap on our profile pic on Instagram! https://t.co/2nh4ywr6g4,1094,189
instagram,"“If you draw it, it becomes interesting.” —@sdionbaker https://t.co/3Go5cyb3sv",904,148
instagram,Participate in this weekend’s hashtag project: #WHPsymmetry https://t.co/Oahobgojh3 https://t.co/wbU9mfQPwZ,819,181
instagram,"Instagram Stories tip! Draw with more colors by swiping the bottom of the screen, or tapping &amp; holding on a color 🎨 https://t.co/CVY4i6ayPn",1022,214
instagram,#PhelpsFace + claymation = 🏅🏅🏅 https://t.co/J5AOE1p9Ez,745,140
instagram,"“I, for one, cannot contemplate a planet void of the magnificent elephant.” —Angela Sheldrick https://t.co/pf9jdCuL8I",869,165
instagram,Worldwide InstaMeet 14 is happening the weekend of September 17-18! Show us how you celebrate food with #WWIM14🍴 https://t.co/fZtJ7dNTBG,755,163
instagram,Saving Africa’s elephants one orphan at a time with @DSWT. #WorldElephantDay https://t.co/fX38fZiJYa,1415,422
instagram,"#DailyFluff
https://t.co/OuMonLalkI 🐾 https://t.co/1iDynj0NI1",1651,438
instagram,Keeping space between shadow &amp,678,134
instagram,Staying on top of the game with Pau Gasol https://t.co/Ag7K4JHGZc,723,121
instagram,Get motivated with these partner workouts starring @JosephinSkriver @JasTookes aka #JoJaLife 💪🏼💪🏼  (via @people) https://t.co/Ay6hbJvzdO,833,187
instagram,"For Loose Leaf, all the plants &gt; no plants 🌱 https://t.co/ozDDbfwduc",730,113
instagram,"#DailyFluff
https://t.co/b5kW5EcZYf 🐾 https://t.co/TrVPXCYwZz",1692,348
instagram,"Diamond goggles, sapphire water and a ruby swim cap #WHPgoforgold https://t.co/UAbrFMwKl6",822,133
instagram,“The space in the back of a yellow cab serves the entire world.” —NYC taxi driver Yaw Addae https://t.co/T6ts4XdTK7,773,122
instagram,"A storybook moment, starring @MelBurford’s son &amp; 🚂 #TheWeekOnInstagram https://t.co/ckVSnkIMNR",601,105
instagram,Capturing the beauty of Singapore through drone photography https://t.co/ukYxUZQVoF,643,133
instagram,Happy #NationalSmoresDay! 🍫 https://t.co/plt1Klc03U,936,208
instagram,"“When you look a lion in the eyes, you can see why they’re king of the jungle.” —Axel Primmer #WorldLionDay 🦁 https://t.co/Bp8zuNprhz",1065,302
instagram,Celebrating #WorldLionDay with Axel Primmer 🦁 https://t.co/WwCaoOwELn,1086,278
instagram,A boy “goes for gold” in golden light for #WHPgoforgold https://t.co/F31gBGUhM6,887,145
instagram,"#DailyFluff
https://t.co/8plv43RUCf 🐾 https://t.co/NKwgSHVaMK",1478,397
instagram,Kicking it up a notch for #WHPgoforgold https://t.co/Sd7JcqzC9m,846,129
instagram,These dogs are ready for the Games! 🐶  (via @POPSUGAR) https://t.co/EqBPwcDfuD,1026,196
instagram,Pounding hooves and mud flying through the air #TheWeekOnInstagram https://t.co/In0bbvtmA5,610,117
instagram,Staying on target with Olympic archer Marcus D’Almeida 🎯  https://t.co/UqdolyMc0s,735,122
instagram,Today’s #WeeklyFluff = eight cuddly cats in Japan https://t.co/fo25utUeWR,767,131
instagram,Visual artist @NohaBahr_ reimagines one of her signature bird characters as an Olympic gymnast #WHPgoforgold https://t.co/Mpk987rMNv,884,152
instagram,"#DailyFluff
https://t.co/l49WVKkemI 🐾 https://t.co/WTy6IkyloY",1378,304
instagram,"To nail a blind landing, try again ... and again ... and again #WHPgoforgold https://t.co/HNQTQXuUfi",878,149
instagram,Featured submissions from this weekend’s hashtag project: #WHPgoforgold https://t.co/yIghdPwBcV https://t.co/NEZ0mmcCcN,625,133
instagram,“Capoeira is truly a conversation.” —Alejandro Márquez #TheWeekOnInstagram https://t.co/3OPR7ByGXV,626,117
instagram,Illustrating science and the surreal with Lydia Ortiz @AMNH https://t.co/dkkWUzuOWx,597,101
instagram,Mondays are less Monday-y when it's #InternationalCatDay! 😺 (oh hi @CheetoTuxedo) https://t.co/ADSArJONE9,813,164
instagram,“I feel more comfortable onstage than at home.” —@thiagopethit https://t.co/MfpV3co4Ui,678,121
instagram,Living rock ‘n’ roll with @thiagopethit https://t.co/dduyKWKyjQ,747,140
instagram,"#DailyFluff
https://t.co/gFqm7aYwpF 🐾 https://t.co/BTZjB6zaY6",1844,407
instagram,Two pandas out for a drive? Not quite ... #TheWeekOnInstagram https://t.co/lO0BZ89Rqq,985,157
instagram,Hashtag highlight: Taking #Doortraits with @alexicle https://t.co/6NHpcjDFSE,751,142
instagram,“We trade information amongst ourselves in the streetwear community.” –Racks Hogan (via @glossyco) https://t.co/3AAJZToVWV,905,168
instagram,"It's #FriendshipDay! Capture your bestie adventures in a photo, video, or story 👬👭🐶  https://t.co/cyb2N6tu28",1238,243
instagram,These Olympians take us behind-the-scenes at the #Rio2016 Games (via @qz) https://t.co/RrR76gVEbP,1014,222
instagram,Team training wouldn’t be complete without a little fun. #TheWeekOnInstagram https://t.co/KKCdd4PJT6,985,155
instagram,A “real-life”💃🏻 making moves = our #BoomerangOfTheWeek https://t.co/Bl1oTv2Dkl,765,137
instagram,"The Week on Instagram | 247
https://t.co/0AExHQIfW5 https://t.co/YIwd0uHRH7",870,197
instagram,"Knock, knock.
Who's there?
🌸🚪 #Doortraits 🚪 🌸
(via @lauramholson @nytimes)",1354,242
instagram,"#DailyFluff
https://t.co/KjxfGNS7XI 🐾 https://t.co/qBiUY4GAiW",2440,765
instagram,On the ground at the Summer Olympics with @taralipinski https://t.co/fmBRJVNeob,1013,159
instagram,The Olympics are here! Watch the action from the #Rio2016 #OpeningCeremony on Explore (Can you 👀 @giseleofficial?) https://t.co/umGH4P0dYo,1297,340
instagram,Participate in this weekend’s hashtag project: #WHPgoforgold https://t.co/gsiuoSA7ZB https://t.co/bHxcgvYXve,771,188
